time_str,time,content,url,platform,original_tweet,impact_on_market,sentiment_score,market_impact_score,keywords,sector,reason,keywords_list,unique_companies,unique_tickers,ticker,company
"October 26, 2025 @ 4:19 PM ET",2025-10-26 16:19:00,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,https://truthsocial.com/@realDonaldTrump/posts/115442316583935494,Truth Social,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,Direct,-0.7,0.6,"['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","['Health Care', 'Consumer Staples']","Advises against Tylenol use and alters vaccine schedules, potentially pressuring Kenvue’s OTC sales and vaccine makers like Merck/GSK.","['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","Kenvue Inc., Merck & Co., Inc., GSK plc, Johnson & Johnson, Pfizer Inc.","KVUE, MRK, GSK, JNJ, PFE",KVUE,Kenvue Inc.
"October 26, 2025 @ 4:19 PM ET",2025-10-26 16:19:00,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,https://truthsocial.com/@realDonaldTrump/posts/115442316583935494,Truth Social,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,Direct,-0.7,0.6,"['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","['Health Care', 'Consumer Staples']","Advises against Tylenol use and alters vaccine schedules, potentially pressuring Kenvue’s OTC sales and vaccine makers like Merck/GSK.","['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","Kenvue Inc., Merck & Co., Inc., GSK plc, Johnson & Johnson, Pfizer Inc.","KVUE, MRK, GSK, JNJ, PFE",MRK,"Merck & Co., Inc."
"October 26, 2025 @ 4:19 PM ET",2025-10-26 16:19:00,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,https://truthsocial.com/@realDonaldTrump/posts/115442316583935494,Truth Social,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,Direct,-0.7,0.6,"['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","['Health Care', 'Consumer Staples']","Advises against Tylenol use and alters vaccine schedules, potentially pressuring Kenvue’s OTC sales and vaccine makers like Merck/GSK.","['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","Kenvue Inc., Merck & Co., Inc., GSK plc, Johnson & Johnson, Pfizer Inc.","KVUE, MRK, GSK, JNJ, PFE",GSK,GSK plc
"October 26, 2025 @ 4:19 PM ET",2025-10-26 16:19:00,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,https://truthsocial.com/@realDonaldTrump/posts/115442316583935494,Truth Social,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,Direct,-0.7,0.6,"['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","['Health Care', 'Consumer Staples']","Advises against Tylenol use and alters vaccine schedules, potentially pressuring Kenvue’s OTC sales and vaccine makers like Merck/GSK.","['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","Kenvue Inc., Merck & Co., Inc., GSK plc, Johnson & Johnson, Pfizer Inc.","KVUE, MRK, GSK, JNJ, PFE",JNJ,Johnson & Johnson
"October 26, 2025 @ 4:19 PM ET",2025-10-26 16:19:00,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,https://truthsocial.com/@realDonaldTrump/posts/115442316583935494,Truth Social,pregnant women don use tylenol unless absolutely necessary don give tylenol to your young child for virtually any reason break up the mmr shot into three totally separate shots not mixed take chicken shot separately take hepatitas shot at 12 years old or older and importantly take vaccine in 5 separate medical visits president djt,Direct,-0.7,0.6,"['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","['Health Care', 'Consumer Staples']","Advises against Tylenol use and alters vaccine schedules, potentially pressuring Kenvue’s OTC sales and vaccine makers like Merck/GSK.","['Kenvue', 'Merck', 'GSK', 'Johnson & Johnson', 'Pfizer']","Kenvue Inc., Merck & Co., Inc., GSK plc, Johnson & Johnson, Pfizer Inc.","KVUE, MRK, GSK, JNJ, PFE",PFE,Pfizer Inc.
"October 24, 2025 @ 7:01 AM ET",2025-10-24 07:01:00,ford and general motors up big on tariffs placed on big and midsized trucks coming from other countries thank you president trump,https://truthsocial.com/@realDonaldTrump/posts/115428798659352209,Truth Social,ford and general motors up big on tariffs placed on big and midsized trucks coming from other countries thank you president trump,Direct,0.7,0.8,"['Ford', 'General Motors', 'tariffs', 'trucks', 'imports']","['Consumer Discretionary', 'Ford', 'General Motors']","Mentions Ford and GM gaining due to truck import tariffs, directly affecting auto stocks.","['Ford', 'General Motors', 'tariffs', 'trucks', 'imports']","Ford Motor Company, General Motors Company","F, GM",F,Ford Motor Company
"October 24, 2025 @ 7:01 AM ET",2025-10-24 07:01:00,ford and general motors up big on tariffs placed on big and midsized trucks coming from other countries thank you president trump,https://truthsocial.com/@realDonaldTrump/posts/115428798659352209,Truth Social,ford and general motors up big on tariffs placed on big and midsized trucks coming from other countries thank you president trump,Direct,0.7,0.8,"['Ford', 'General Motors', 'tariffs', 'trucks', 'imports']","['Consumer Discretionary', 'Ford', 'General Motors']","Mentions Ford and GM gaining due to truck import tariffs, directly affecting auto stocks.","['Ford', 'General Motors', 'tariffs', 'trucks', 'imports']","Ford Motor Company, General Motors Company","F, GM",GM,General Motors Company
"October 23, 2025 @ 1:03 PM ET",2025-10-23 13:03:00,the federal government was preparing to surge san francisco california on saturday but friends of mine who live in the area called last night to ask me not to go forward with the surge in that the mayor daniel lurie was making substantial progress spoke to mayor lurie last night and he asked very nicely that give him chance to see if he can turn it around told him think he is making mistake because we can do it much faster and remove the criminals that the law does not permit him to remove told him it an easier process if we do it faster stronger and safer but let see how you do the people of san francisco have come together on fighting crime especially since we began to take charge of that very nasty subject great people like jensen huang marc benioff and others have called saying that the future of san francisco is great they want to give it shot therefore we will not surge san francisco on saturday stay tuned,https://truthsocial.com/@realDonaldTrump/posts/115424560133045127,Truth Social,the federal government was preparing to surge san francisco california on saturday but friends of mine who live in the area called last night to ask me not to go forward with the surge in that the mayor daniel lurie was making substantial progress spoke to mayor lurie last night and he asked very nicely that give him chance to see if he can turn it around told him think he is making mistake because we can do it much faster and remove the criminals that the law does not permit him to remove told him it an easier process if we do it faster stronger and safer but let see how you do the people of san francisco have come together on fighting crime especially since we began to take charge of that very nasty subject great people like jensen huang marc benioff and others have called saying that the future of san francisco is great they want to give it shot therefore we will not surge san francisco on saturday stay tuned,Direct,0.3,0.4,"['NVIDIA', 'Salesforce', 'Jensen Huang', 'Marc Benioff', 'San Francisco']","['Information Technology', 'Real Estate']","Mentions prominent tech CEOs and public safety decisions in San Francisco, likely influencing sentiment for SF-based tech and local markets.","['NVIDIA', 'Salesforce', 'Jensen Huang', 'Marc Benioff', 'San Francisco']","NVIDIA Corporation, Salesforce, Inc.","NVDA, CRM",NVDA,NVIDIA Corporation
"October 23, 2025 @ 1:03 PM ET",2025-10-23 13:03:00,the federal government was preparing to surge san francisco california on saturday but friends of mine who live in the area called last night to ask me not to go forward with the surge in that the mayor daniel lurie was making substantial progress spoke to mayor lurie last night and he asked very nicely that give him chance to see if he can turn it around told him think he is making mistake because we can do it much faster and remove the criminals that the law does not permit him to remove told him it an easier process if we do it faster stronger and safer but let see how you do the people of san francisco have come together on fighting crime especially since we began to take charge of that very nasty subject great people like jensen huang marc benioff and others have called saying that the future of san francisco is great they want to give it shot therefore we will not surge san francisco on saturday stay tuned,https://truthsocial.com/@realDonaldTrump/posts/115424560133045127,Truth Social,the federal government was preparing to surge san francisco california on saturday but friends of mine who live in the area called last night to ask me not to go forward with the surge in that the mayor daniel lurie was making substantial progress spoke to mayor lurie last night and he asked very nicely that give him chance to see if he can turn it around told him think he is making mistake because we can do it much faster and remove the criminals that the law does not permit him to remove told him it an easier process if we do it faster stronger and safer but let see how you do the people of san francisco have come together on fighting crime especially since we began to take charge of that very nasty subject great people like jensen huang marc benioff and others have called saying that the future of san francisco is great they want to give it shot therefore we will not surge san francisco on saturday stay tuned,Direct,0.3,0.4,"['NVIDIA', 'Salesforce', 'Jensen Huang', 'Marc Benioff', 'San Francisco']","['Information Technology', 'Real Estate']","Mentions prominent tech CEOs and public safety decisions in San Francisco, likely influencing sentiment for SF-based tech and local markets.","['NVIDIA', 'Salesforce', 'Jensen Huang', 'Marc Benioff', 'San Francisco']","NVIDIA Corporation, Salesforce, Inc.","NVDA, CRM",CRM,"Salesforce, Inc."
"October 22, 2025 @ 9:12 PM ET",2025-10-22 21:12:00,senator josh hawley dismantles cnn narrative about president trump white house renovation during live interview when reporter manu raju asked what about just uprooting the you know this is an iconic building hawley exposed their faux outrage instantly manu will just say this made this point yesterday that hear all of sudden from my liberal friends that they re very concerned about our history really these are the same people who tore down every statue they could get their hands on in the last four years christopher columbus thomas jefferson theodore roosevelt they didn have any concern for history then now all of sudden they re like oh the facade of the east wing is iconic oh give me break mean give me break via overton,https://truthsocial.com/@realDonaldTrump/posts/115420822058223259,Truth Social,senator josh hawley dismantles cnn narrative about president trump white house renovation during live interview when reporter manu raju asked what about just uprooting the you know this is an iconic building hawley exposed their faux outrage instantly manu will just say this made this point yesterday that hear all of sudden from my liberal friends that they re very concerned about our history really these are the same people who tore down every statue they could get their hands on in the last four years christopher columbus thomas jefferson theodore roosevelt they didn have any concern for history then now all of sudden they re like oh the facade of the east wing is iconic oh give me break mean give me break via overton,Direct,-0.6,0.1,"['CNN', 'Warner Bros. Discovery']",['Communication Services'],"Directly references CNN, but as political media criticism it is unlikely to materially affect media stocks.","['CNN', 'Warner Bros. Discovery']","Warner Bros. Discovery, Inc.",WBD,WBD,"Warner Bros. Discovery, Inc."
